Feature,rank
atr_prev_84,2579.5
btcdom_open_prev_80,2580.0
sar_prev_252,2580.0
volume_prev_4,2580.5
stoch_slowd_prev_248,2580.5
btcdom_open_prev_84,2581.0
btcdom_open_prev_176,2581.0
stoch_diff_prev_80,2581.5
sar_prev_176,2582.5
stoch_diff_prev_76,2583.5
macdhist_prev_60,2584.5
stoch_slowk_prev_156,2584.5
atr_prev_192,2584.5
high_prev_108,2585.5
atr_prev_228,2585.5
close_prev_212,2585.5
rsi_prev_224,2587.5
linear_reg_angle_prev_56,2588.5
btcdom_high_prev_56,2589.0
btcdom_open_prev_140,2590.0
macd_prev_184,2590.0
stoch_diff_prev_192,2590.5
stoch_slowd_prev_52,2595.5
rsi_prev_216,2596.5
