time,btcdom_open,btcdom_high,btcdom_low,btcdom_close,btcdom_volume
2025-09-11 11:00:00,3859.9,3871.9,3848.0,3859.2,366.71
2025-09-11 15:00:00,3859.2,3890.7,3828.0,3883.4,962.218
2025-09-11 19:00:00,3882.9,3896.0,3867.1,3875.8,497.481
2025-09-11 23:00:00,3875.3,3883.5,3868.4,3878.5,355.439
2025-09-12 03:00:00,3878.5,3888.4,3833.5,3834.2,587.907
2025-09-12 07:00:00,3834.0,3837.3,3802.7,3812.0,1043.215
2025-09-12 11:00:00,3812.0,3826.2,3809.9,3817.4,330.939
2025-09-12 15:00:00,3816.1,3828.7,3791.7,3810.1,513.047
2025-09-12 19:00:00,3810.9,3816.9,3750.0,3787.2,799.483
2025-09-12 23:00:00,3787.3,3787.3,3728.3,3738.8,621.126
2025-09-13 03:00:00,3738.7,3747.4,3701.0,3705.0,464.971
2025-09-13 07:00:00,3705.0,3721.2,3696.2,3720.7,421.517
2025-09-13 11:00:00,3720.6,3720.7,3675.5,3694.7,543.892
2025-09-13 15:00:00,3694.7,3735.7,3686.6,3730.6,574.386
2025-09-13 19:00:00,3730.6,3764.9,3724.0,3752.3,405.073
2025-09-13 23:00:00,3752.3,3754.3,3732.0,3733.7,139.971
2025-09-14 03:00:00,3733.7,3752.2,3707.7,3734.1,859.181
2025-09-14 07:00:00,3733.6,3751.0,3719.3,3742.2,320.706
2025-09-14 11:00:00,3741.1,3769.2,3735.9,3765.1,411.44
2025-09-14 15:00:00,3765.0,3798.7,3752.5,3787.1,758.971
2025-09-14 19:00:00,3786.7,3793.5,3760.5,3784.1,323.767
2025-09-14 23:00:00,3784.2,3798.8,3773.6,3784.0,331.15
2025-09-15 03:00:00,3784.1,3787.9,3757.7,3758.9,209.026
2025-09-15 07:00:00,3759.1,3822.4,3752.6,3816.7,547.814
2025-09-15 11:00:00,3817.5,3863.8,3817.5,3836.2,1243.795
2025-09-15 15:00:00,3836.3,3859.3,3815.4,3846.6,513.255
2025-09-15 19:00:00,3846.6,3872.7,3840.6,3869.9,303.04
2025-09-15 23:00:00,3870.8,3874.4,3838.4,3850.7,354.773
2025-09-16 03:00:00,3850.8,3909.4,3840.3,3856.5,449.162
2025-09-16 07:00:00,3856.4,3877.7,3853.7,3857.5,308.017
2025-09-16 11:00:00,3857.6,3857.8,3837.5,3842.1,253.027
2025-09-16 15:00:00,3841.3,3899.9,3834.7,3864.9,611.491
2025-09-16 19:00:00,3866.5,3907.7,3826.0,3875.0,571.808
2025-09-16 23:00:00,3876.0,3879.9,3856.8,3874.6,202.865
2025-09-17 03:00:00,3874.5,3878.5,3852.7,3876.4,256.712
2025-09-17 07:00:00,3876.4,4000.0,3866.4,3869.7,1290.778
2025-09-17 11:00:00,3870.5,3890.6,3870.3,3878.3,200.317
2025-09-17 15:00:00,3878.3,3881.1,3856.2,3868.6,188.799
2025-09-17 19:00:00,3868.7,3875.0,3821.0,3822.2,953.77
2025-09-17 23:00:00,3822.0,3844.3,3758.8,3771.2,932.666
2025-09-18 03:00:00,3771.5,3787.9,3750.0,3780.9,930.1
2025-09-18 07:00:00,3781.0,3815.7,3781.0,3791.3,357.257
2025-09-18 11:00:00,3791.1,3795.3,3771.0,3781.2,742.041
2025-09-18 15:00:00,3781.1,3795.5,3772.5,3783.3,379.402
2025-09-18 19:00:00,3783.1,3786.6,3763.1,3783.5,292.936
2025-09-18 23:00:00,3783.3,3786.8,3776.0,3782.0,110.465
2025-09-19 03:00:00,3782.1,3812.0,3768.4,3810.6,305.991
2025-09-19 07:00:00,3810.0,3824.6,3797.7,3812.1,390.712
2025-09-19 11:00:00,3812.2,3835.3,3807.1,3826.5,738.175
2025-09-19 15:00:00,3826.4,3856.5,3805.1,3842.0,537.059
2025-09-19 19:00:00,3841.0,3861.6,3829.2,3841.5,212.623
2025-09-19 23:00:00,3841.7,3854.4,3828.8,3839.7,183.796
2025-09-20 03:00:00,3839.7,3877.6,3830.1,3832.5,485.957
2025-09-20 07:00:00,3832.5,3836.0,3820.9,3826.8,150.039
2025-09-20 11:00:00,3826.9,3849.4,3826.3,3839.8,204.611
2025-09-20 15:00:00,3839.9,3851.2,3809.4,3814.8,217.578
2025-09-20 19:00:00,3814.8,3831.8,3810.0,3827.2,252.856
2025-09-20 23:00:00,3827.4,3828.3,3806.3,3812.0,244.148
2025-09-21 03:00:00,3812.1,3816.2,3783.5,3791.4,450.885
2025-09-21 07:00:00,3791.4,3803.9,3786.9,3802.7,185.163
2025-09-21 11:00:00,3802.0,3829.3,3798.6,3823.7,259.459
2025-09-21 15:00:00,3823.6,3826.0,3807.2,3809.6,255.034
2025-09-21 19:00:00,3809.6,3831.2,3805.7,3808.8,271.245
2025-09-21 23:00:00,3808.8,3830.1,3806.8,3827.4,155.286
2025-09-22 03:00:00,3826.9,3999.0,3824.7,3914.8,1635.952
2025-09-22 07:00:00,3914.8,4185.7,3904.3,3961.7,2036.7
2025-09-22 11:00:00,3961.4,3990.8,3950.6,3975.9,570.721
2025-09-22 15:00:00,3975.7,3979.5,3939.8,3975.8,757.457
2025-09-22 19:00:00,3975.5,4005.1,3959.8,3991.9,616.343
2025-09-22 23:00:00,3993.0,3995.9,3949.5,3954.2,313.456
2025-09-23 03:00:00,3954.1,4006.6,3940.1,3957.4,598.19
2025-09-23 07:00:00,3956.6,3983.1,3949.8,3962.5,247.856
2025-09-23 11:00:00,3962.4,3972.8,3947.5,3962.9,254.022
2025-09-23 15:00:00,3963.0,3968.7,3943.7,3952.9,225.828
2025-09-23 19:00:00,3953.4,3963.1,3928.4,3952.0,373.84
2025-09-23 23:00:00,3952.2,3967.7,3941.7,3967.7,103.814
2025-09-24 03:00:00,3967.2,3995.6,3948.0,3985.7,287.209
2025-09-24 07:00:00,3985.8,4023.0,3965.3,3969.8,657.828
2025-09-24 11:00:00,3969.1,3979.5,3961.6,3976.3,139.595
2025-09-24 15:00:00,3975.7,3991.9,3963.0,3976.6,358.341
2025-09-24 19:00:00,3976.5,3986.8,3970.3,3976.8,171.282
2025-09-24 23:00:00,3977.0,4005.5,3976.2,3995.6,182.929
2025-09-25 03:00:00,3997.0,4060.0,3992.0,4043.8,878.443
