,Feature,rank
551,volume_prev_140,1686.5
552,atr_prev_64,1687.0
553,macd_dir_prev_88,1687.0
554,stoch_diff_prev_184,1688.0
555,atr_prev_176,1689.0
556,volume_prev_40,1690.0
557,atr_prev_124,1691.0
558,atr_prev_104,1692.0
559,atr_prev_180,1693.0
560,stoch_slowd_prev_72,1694.0
561,atr_prev_116,1694.0
562,linear_reg_angle_prev_168,1694.0
563,stoch_slowk_dir_prev_100,1695.0
564,atr_prev_60,1696.0
565,macd_dir_prev_24,1696.0
566,macd_prev_84,1696.5
567,atr_prev_128,1698.0
568,atr_prev_168,1699.0
569,stoch_slowk_dir_prev_128,1699.5
570,volume_prev_116,1700.0
571,close_smooth_prev_124,1701.0
572,close_prev_112,1702.0
573,atr_prev_152,1703.0
574,macdhist_prev_60,1703.0
575,stoch_diff_prev_132,1704.0
576,atr_prev_156,1704.0
577,stoch_slowd_dir_prev_136,1704.0
578,atr_prev_20,1705.0
579,high_prev_40,1706.0
580,low_prev_68,1707.0
581,volume_prev_124,1708.0
582,open_prev_48,1708.0
583,rsi_prev_148,1708.5
584,low_prev_92,1709.0
585,low_prev_16,1710.0
586,close_smooth_prev_28,1711.0
587,macd_prev_176,1712.0
588,rsi_prev_76,1712.0
589,low_prev_108,1712.0
590,close_smooth_prev_56,1713.0
591,macdsignal_dir_prev_80,1713.5
592,open_prev_16,1714.0
593,macdhist_prev_44,1715.0
594,atr_prev_8,1715.0
595,close_smooth_prev_52,1717.0
596,macd_dir_prev_140,1719.0
597,stoch_slowk_prev_160,1719.0
598,high_prev_72,1719.0
599,stoch_slowk_dir_prev_104,1719.0
600,linear_reg_angle_prev_28,1719.0
601,close_prev_128,1720.0
602,volume_prev_56,1720.0
603,high_prev_124,1722.0
604,macd_prev_12,1723.0
605,open_prev_108,1723.0
606,rsi_prev_136,1723.0
607,macdsignal_dir_prev_32,1723.5
608,macdsignal_prev_176,1724.5
609,linear_reg_angle_prev_108,1725.0
610,open_prev_192,1725.0
611,macdsignal_prev_84,1725.0
612,close_prev_32,1726.0
613,open_prev_12,1727.0
614,stoch_slowd_dir_prev_12,1727.5
615,open_prev_4,1728.0
