,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_max_bin,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,n_estimators
454,454,456.0,2024-01-26 02:15:46.114949,2024-01-26 02:15:57.585423,0 days 00:00:11.470474,dart,0.7360731131116576,50,0.5074759926902761,False,0.001922677897396621,153,5,1024,111,0.0003028334027723246,0.0003329322030871558,0.3424581355352565,COMPLETE,0.0
428,428,456.0,2024-01-26 02:04:15.825168,2024-01-26 02:04:32.006886,0 days 00:00:16.181718,dart,0.7656880607957578,66,0.5002560749829846,False,0.001398529084217419,124,7,1021,123,1.3355709694023867e-07,6.412362604500705e-06,0.3303814822877599,COMPLETE,0.0
484,484,456.0,2024-01-26 02:32:59.021841,2024-01-26 02:33:43.277280,0 days 00:00:44.255439,dart,0.7168079565918964,50,0.5068880336852064,False,0.0011395433584190028,169,7,2479,128,1.0406957792764432e-07,2.5708390271596055e-05,0.3156718364706245,COMPLETE,0.0
161,161,455.0,2024-01-25 23:33:14.937404,2024-01-25 23:33:48.694985,0 days 00:00:33.757581,dart,0.6995953361769278,60,0.5072332706253572,False,0.0006463183489531475,128,5,2634,112,9.135707008161297e-08,0.00042360952731766645,0.3227014485667064,COMPLETE,0.0
121,121,455.0,2024-01-25 23:11:24.479576,2024-01-25 23:11:56.507379,0 days 00:00:32.027803,dart,0.7583616085655409,56,0.5012029145032415,False,0.001049916290919166,133,5,2488,120,2.097515822062473e-07,1.5325345530660484e-05,0.31807007450456815,COMPLETE,0.0
327,327,455.0,2024-01-26 01:15:24.392769,2024-01-26 01:15:59.568712,0 days 00:00:35.175943,dart,0.4191019451734206,50,0.5120573835906946,False,0.0012753973055860816,137,5,2746,128,1.523647235403379e-07,1.0953198297295297e-05,0.3580497638539349,COMPLETE,0.0
419,419,455.0,2024-01-26 02:01:10.016631,2024-01-26 02:01:25.989359,0 days 00:00:15.972728,dart,0.7435965207375084,80,0.5079222086447245,False,0.001137640026528982,108,6,1105,128,1.4275354343577907e-07,5.47728716981502e-06,0.3752660189673737,COMPLETE,0.0
457,457,455.0,2024-01-26 02:17:13.971467,2024-01-26 02:17:49.556326,0 days 00:00:35.584859,dart,0.45088646593411613,68,0.5080647496148267,False,0.0015681510447535726,125,5,2769,115,1.216254456356607e-07,0.0002182872675679807,0.3353092992186957,COMPLETE,0.0
349,349,454.0,2024-01-26 01:23:05.213463,2024-01-26 01:23:32.642374,0 days 00:00:27.428911,dart,0.43498284859139413,65,0.5077662258875616,False,0.00383524385607927,119,4,2690,112,0.01742402763064154,4.532404437040575e-06,0.30017507824356515,COMPLETE,0.0
96,96,454.0,2024-01-25 22:57:25.423291,2024-01-25 22:58:00.341730,0 days 00:00:34.918439,dart,0.7041214587280172,62,0.5107969342645026,False,0.0011601599879507696,144,5,2580,102,4.943831690591133e-07,0.0007999061624528706,0.35617927449279996,COMPLETE,0.0
436,436,454.0,2024-01-26 02:07:22.589107,2024-01-26 02:07:32.774732,0 days 00:00:10.185625,dart,0.456875263225684,58,0.5002957346083182,False,0.003451745006669844,121,5,947,126,8.168812936969941e-07,0.0011785142436508789,0.3417835917649715,COMPLETE,0.0
371,371,454.0,2024-01-26 01:34:10.300182,2024-01-26 01:34:44.032264,0 days 00:00:33.732082,dart,0.7626213948245693,58,0.5065238033563506,False,0.002839907487215854,221,5,2582,123,3.008171466786051e-08,4.146390711183284e-06,0.3219001959522067,COMPLETE,0.0
422,422,454.0,2024-01-26 02:02:37.112928,2024-01-26 02:02:55.328796,0 days 00:00:18.215868,dart,0.751092675646691,87,0.5003496320218201,False,0.0017297306661889346,121,7,1077,122,4.4904108808922034e-07,2.556402306677531e-06,0.3446310876583897,COMPLETE,0.0
427,427,453.0,2024-01-26 02:04:08.520980,2024-01-26 02:04:15.824313,0 days 00:00:07.303333,dart,0.7509830944428155,59,0.5063466693074415,False,0.0026307210289079935,117,4,813,126,8.327979156614691e-08,0.00010147691193823157,0.3829840094750006,COMPLETE,0.0
195,195,453.0,2024-01-25 23:55:41.821343,2024-01-25 23:56:19.032608,0 days 00:00:37.211265,dart,0.7271884018928421,59,0.5002950841594853,False,0.0010641068077483782,117,5,2813,125,5.404802068829909e-08,0.05226339679501799,0.3211506464259807,COMPLETE,0.0
179,179,453.0,2024-01-25 23:45:30.446080,2024-01-25 23:46:03.913919,0 days 00:00:33.467839,dart,0.8732086911202852,73,0.5002510572489434,False,0.0006594457530089195,146,6,2089,122,2.32596477972736e-08,0.020279678067401517,0.3156095010147772,COMPLETE,0.0
477,477,453.0,2024-01-26 02:29:01.705203,2024-01-26 02:29:42.637313,0 days 00:00:40.932110,dart,0.6269085165374225,67,0.5002417646568939,False,0.0013134678535539374,161,6,2633,125,2.4529885555540943e-08,7.227461429366761e-06,0.33870590365239056,COMPLETE,0.0
241,241,453.0,2024-01-26 00:22:12.501289,2024-01-26 00:22:47.679455,0 days 00:00:35.178166,dart,0.3429603668234502,60,0.5070376014621235,False,0.0011619283946144555,118,5,2827,125,5.687661259818731e-08,1.164136802324985e-05,0.3195390472701722,COMPLETE,0.0
214,214,452.0,2024-01-26 00:06:48.420982,2024-01-26 00:07:21.094958,0 days 00:00:32.673976,dart,0.8089202391620715,50,0.5077570832238085,False,0.0015463946597548735,135,5,2562,128,4.946320139520724e-08,2.1296860023700697e-05,0.31538720463805975,COMPLETE,0.0
247,247,452.0,2024-01-26 00:25:24.726160,2024-01-26 00:25:57.009071,0 days 00:00:32.282911,dart,0.31754131542398767,57,0.5111025722320438,False,0.002149125090121368,143,5,2623,126,0.0001466752621681289,6.540918732633257e-06,0.3000872843279446,COMPLETE,0.0
267,267,452.0,2024-01-26 00:38:03.317468,2024-01-26 00:38:35.125492,0 days 00:00:31.808024,dart,0.7911955879971916,50,0.501015548525177,False,0.0019838720710298637,76,5,2945,12,0.001034183679832835,0.00018804849393543253,0.31095707756998037,COMPLETE,0.0
248,248,452.0,2024-01-26 00:25:57.009991,2024-01-26 00:26:31.112887,0 days 00:00:34.102896,dart,0.7246706039497658,50,0.5089244975990422,False,0.0015962014121405498,139,5,2689,22,0.00042257090937485465,3.450469073630455e-06,0.34237233263322386,COMPLETE,0.0
81,81,452.0,2024-01-25 22:49:21.877082,2024-01-25 22:49:55.177228,0 days 00:00:33.300146,dart,0.6663556127159167,56,0.501802937587577,False,0.0006311001654419144,129,5,2594,75,4.31415637902396e-06,2.191039887678235e-05,0.30332038281546553,COMPLETE,0.0
242,242,452.0,2024-01-26 00:22:47.680333,2024-01-26 00:23:25.217389,0 days 00:00:37.537056,dart,0.7364124931801798,58,0.5005959521491351,False,0.001017135713414088,119,5,2858,128,7.961825920237571e-08,0.00025001250810692354,0.33634529436147076,COMPLETE,0.0
298,298,451.0,2024-01-26 00:56:56.334548,2024-01-26 00:57:31.819309,0 days 00:00:35.484761,dart,0.5233832859656552,59,0.5001618834701066,False,0.0008529391678773332,131,5,2755,121,3.2437651163994936e-08,0.0004343496101872834,0.3311135776823408,COMPLETE,0.0
157,157,451.0,2024-01-25 23:31:42.485108,2024-01-25 23:32:14.965465,0 days 00:00:32.480357,dart,0.7557054673792798,50,0.5091215102513803,False,0.0012163808140197583,154,5,2565,119,4.944063388753687e-07,0.0003406478555397801,0.30502460816293336,COMPLETE,0.0
206,206,451.0,2024-01-26 00:02:15.257061,2024-01-26 00:02:49.499547,0 days 00:00:34.242486,dart,0.7885374915850304,60,0.5000768294948796,False,0.00272366313138572,133,5,2656,122,3.522719337999485e-08,0.0002890597056570882,0.3282826347792894,COMPLETE,0.0
232,232,450.0,2024-01-26 00:17:09.277744,2024-01-26 00:17:43.765148,0 days 00:00:34.487404,dart,0.7880153306461004,59,0.5063853833326069,False,0.0012517849399131939,149,5,2637,126,6.597175876547675e-08,0.0003278064265950763,0.3330327089449895,COMPLETE,0.0
113,113,450.0,2024-01-25 23:06:50.633870,2024-01-25 23:07:26.313256,0 days 00:00:35.679386,dart,0.8299919251815199,68,0.5001980462343378,False,0.0008648495445993632,127,5,2721,112,4.054635447025793e-07,0.002175444734905907,0.3170480702932681,COMPLETE,0.0
355,355,449.0,2024-01-26 01:24:44.509214,2024-01-26 01:25:13.815494,0 days 00:00:29.306280,dart,0.8132927059761398,64,0.5000624315509792,False,0.0017681943892355926,108,4,2742,106,0.0003186375077550099,0.005489776984599974,0.31218905100737143,COMPLETE,0.0
177,177,449.0,2024-01-25 23:44:18.069033,2024-01-25 23:44:51.259758,0 days 00:00:33.190725,dart,0.8340248155579242,73,0.5006650756530446,False,0.0011753989499595024,144,6,2081,115,9.881627954873175e-08,0.007561857471596496,0.34226616210501454,COMPLETE,0.0
488,488,449.0,2024-01-26 02:35:36.381733,2024-01-26 02:36:09.001254,0 days 00:00:32.619521,dart,0.7311608924305965,50,0.5070443641236738,False,0.0008505500448238798,173,5,2424,128,2.9276892425294164e-08,3.310809752655796e-05,0.3253375440667194,COMPLETE,0.0
