number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_corr_thresh,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_low_bound,params_max_bin,params_max_depth,params_max_train_size,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sample_weight,params_subsample,state
174,522.324854252401,2024-09-30 18:56:47.533545,2024-09-30 18:57:21.549652,0 days 00:00:34.016107,gbdt,0.6705962737428045,0.5506424421702433,116,0.5106558418939315,True,0.0013683120718197667,0.021628119170485377,116,8,0.5151497045078899,1082,355,7.496969069137917e-05,1.5620844984309805,cos,0.5801728203692562,COMPLETE
231,519.95853002648,2024-09-30 19:30:12.809434,2024-09-30 19:30:48.889458,0 days 00:00:36.080024,gbdt,0.8668561619216328,0.5914560622497692,152,0.5247126835362415,True,0.0007426901712056307,0.036661324197164516,114,8,0.5039639641450102,847,305,0.00013058225622411502,0.1455019228086974,,0.6162879922270582,COMPLETE
709,517.0205556872041,2024-10-01 00:51:19.458627,2024-10-01 00:51:47.429235,0 days 00:00:27.970608,gbdt,0.8886659023148676,0.6235290412798674,117,0.5142025236737904,True,0.0011616865160152137,0.03307870065049211,108,8,0.5090358811656968,686,205,1.7115568451037964e-06,0.5684656464709303,,0.5797607037188338,COMPLETE
482,516.300263831456,2024-09-30 22:11:35.432310,2024-09-30 22:12:06.640489,0 days 00:00:31.208179,gbdt,0.878316474455237,0.5726853936057685,103,0.5085379819162157,True,0.0009548843447903692,0.03234050042993579,96,9,0.5294492350189939,935,320,1.5545949320768064e-05,0.5507603199049621,,0.37814751388929846,COMPLETE
646,515.7691224878735,2024-10-01 00:16:49.553788,2024-10-01 00:17:17.075215,0 days 00:00:27.521427,gbdt,0.8990917209159699,0.6195021302253712,121,0.5142414808337965,True,0.0010893702743543074,0.028505170369027753,113,7,0.5085893176719702,860,275,1.1581174059737081e-06,1.1062369776387606,,0.62267692768003,COMPLETE
390,515.1505398375398,2024-09-30 21:09:50.644867,2024-09-30 21:10:27.183156,0 days 00:00:36.538289,gbdt,0.8638961467596665,0.6343397449133558,152,0.514759256027955,True,0.0020032412340567716,0.04464645982192811,105,10,0.5118628497405144,613,273,1.3360537713615763e-06,2.1687392801039597e-07,,0.5141528824382646,COMPLETE
346,505.8445510147094,2024-09-30 20:43:15.521821,2024-09-30 20:43:53.977239,0 days 00:00:38.455418,gbdt,0.8783429970766441,0.6325404630602652,158,0.515051980010877,True,0.001368454640749411,0.03706626083149377,117,8,0.5266036680145649,805,333,4.770831647391663e-06,0.48199281037005975,,0.6165819586832011,COMPLETE
714,505.0037577958149,2024-10-01 00:55:29.494786,2024-10-01 00:56:06.211247,0 days 00:00:36.716461,gbdt,0.8782556221106109,0.6329497680357657,149,0.5116805372212665,True,0.0007693302731854034,0.03423674815795671,103,8,0.5001091684825837,818,310,0.008931112780747482,0.683450834451041,,0.6118469126199759,COMPLETE
469,503.62858654021585,2024-09-30 22:03:34.015546,2024-09-30 22:04:17.515587,0 days 00:00:43.500041,gbdt,0.8907047537606181,0.6419405396871328,151,0.5164622827034681,True,0.0015210011168085942,0.03919047295661457,105,9,0.5006513347404151,864,261,2.1817128985464224e-05,1.6855143869849855e-05,,0.58070541857634,COMPLETE
292,502.3668039278523,2024-09-30 20:09:58.305202,2024-09-30 20:10:26.768861,0 days 00:00:28.463659,gbdt,0.8729784863221973,0.5886317099117071,132,0.5203042892775809,True,0.0012395443165251216,0.0427799240830081,120,8,0.5239822318654535,668,309,2.154927596296741e-05,0.4849351696430715,,0.6125267454880526,COMPLETE
394,502.2830823216369,2024-09-30 21:12:49.766043,2024-09-30 21:13:26.152487,0 days 00:00:36.386444,gbdt,0.8674250982493575,0.6213042176853892,144,0.5118884449588479,True,0.0018895107604868311,0.045530941140729385,108,10,0.5091157160727369,651,291,2.609268626498469e-06,7.202063192525593e-05,,0.4990842336753077,COMPLETE
228,502.18888840752976,2024-09-30 19:28:32.888943,2024-09-30 19:29:05.073675,0 days 00:00:32.184732,gbdt,0.7121647677382633,0.604641473035465,153,0.5106174155902847,True,0.0009070766397011336,0.03450538812483168,112,8,0.50008086513283,807,306,0.0001274612132026142,0.1922684200767197,,0.5909436610411458,COMPLETE
295,502.118856728539,2024-09-30 20:11:18.036805,2024-09-30 20:11:48.067881,0 days 00:00:30.031076,gbdt,0.8994799680514161,0.5855427822576678,136,0.5193301492899561,True,0.0011566063024414828,0.04197964349495887,125,8,0.5001777494519741,716,331,1.3271396966433024e-05,0.39056302812469157,,0.6162701030048531,COMPLETE
616,501.64892901234606,2024-09-30 23:56:15.034146,2024-09-30 23:56:54.696907,0 days 00:00:39.662761,gbdt,0.8880976233416945,0.6288339292221077,173,0.4992418489550182,True,0.0016232078595478884,0.028840669534584244,106,8,0.5380080995102346,744,341,2.879376112705686e-05,0.33045096720942563,,0.6471886955940142,COMPLETE
367,498.4063772863326,2024-09-30 20:56:42.394048,2024-09-30 20:57:22.256440,0 days 00:00:39.862392,gbdt,0.8797188985912895,0.6194999928855461,160,0.5079101102635853,True,0.0022561670563124546,0.04073197735899427,108,9,0.5146813389024403,722,297,5.092739882774765e-06,3.1359228794929788,,0.5567557394047162,COMPLETE
200,497.31910098335874,2024-09-30 19:11:49.798944,2024-09-30 19:12:17.565700,0 days 00:00:27.766756,gbdt,0.8187564436517415,0.587143477708729,93,0.5248995682047743,True,0.001338570386898978,0.02280007320343366,104,8,0.5167072730897206,911,378,0.00027248182981887305,0.8176262772804513,,0.6435316470356773,COMPLETE
748,496.93560661133375,2024-10-01 01:16:31.193519,2024-10-01 01:17:07.234631,0 days 00:00:36.041112,gbdt,0.8593621095191754,0.6233056204365284,145,0.5233753716877214,True,0.0007463481994518145,0.0330566758614087,118,8,0.5077291166004699,829,266,3.1822587659312334e-05,0.14665944819209456,,0.6182694921216138,COMPLETE
523,496.6610594841937,2024-09-30 22:41:36.376385,2024-09-30 22:42:08.576415,0 days 00:00:32.200030,gbdt,0.8460017710527202,0.6045797299340759,162,0.5145475149716883,True,0.0009650079430430213,0.032455753550414315,103,8,0.5187251088371253,711,331,0.0003669177835368508,0.33649657146620243,,0.5753414171632804,COMPLETE
459,496.32151145606065,2024-09-30 21:56:49.063256,2024-09-30 21:57:37.845168,0 days 00:00:48.781912,gbdt,0.8861095998646451,0.6167574340626054,153,0.5236467790427797,True,0.0013793329919423848,0.038213437384669834,108,10,0.5093198501763566,807,275,1.1212936443744741e-05,3.4424999555172696e-05,,0.5879081450442756,COMPLETE
505,495.75854206198676,2024-09-30 22:29:24.409104,2024-09-30 22:29:53.595339,0 days 00:00:29.186235,gbdt,0.8815693968332536,0.5866735762806943,167,0.5021424411877955,True,0.001536206881761505,0.03777662544886593,91,7,0.5097020046638725,767,309,5.860623033889513e-06,0.45593724251378304,linear,0.5587568132064477,COMPLETE
383,493.20139536254067,2024-09-30 21:05:50.347742,2024-09-30 21:06:25.614049,0 days 00:00:35.266307,gbdt,0.8394010718329076,0.6170757656346064,151,0.49494682085704733,True,0.001725913084584999,0.04663432577734534,117,9,0.5191645039895274,654,272,5.136141042225568e-06,1.733391623888414e-08,,0.5654669909954488,COMPLETE
276,492.2346972822529,2024-09-30 19:58:36.479167,2024-09-30 19:59:20.012073,0 days 00:00:43.532906,gbdt,0.8883778656631577,0.5912498664189989,204,0.5199946091655059,True,0.0007397041907136748,0.03258735180654757,111,8,0.5097520387244596,789,314,4.407022017014584e-05,0.24743367500276112,,0.6134939810194698,COMPLETE
426,492.1294839449542,2024-09-30 21:31:58.589796,2024-09-30 21:32:34.656510,0 days 00:00:36.066714,gbdt,0.8685281617434236,0.6375094596713139,142,0.5218183670177821,False,0.002255728639912619,0.05387095333889703,128,9,0.5172207347082151,704,304,6.520174874473436e-07,9.307500164331727e-06,,0.5455840202641813,COMPLETE
649,491.1741451366628,2024-10-01 00:18:09.083676,2024-10-01 00:18:29.851661,0 days 00:00:20.767985,gbdt,0.8828768040246004,0.5889499705889314,124,0.5108096729773526,True,0.00114745267970242,0.0306684802072443,110,6,0.5095258495813129,701,286,7.530447018808013e-07,0.5185206416052212,,0.6415109157752972,COMPLETE
385,490.7723146258504,2024-09-30 21:06:49.896471,2024-09-30 21:07:29.333711,0 days 00:00:39.437240,gbdt,0.8560249521586983,0.6153025603968232,176,0.5025817066335737,True,0.0027806743767614535,0.04634637931001773,107,10,0.5002543909397673,548,263,3.764178750444978e-06,1.1107293632985477e-07,,0.5395428809476601,COMPLETE
173,489.9020445372732,2024-09-30 18:56:15.814572,2024-09-30 18:56:47.532917,0 days 00:00:31.718345,gbdt,0.6665894984212998,0.5462642854430971,78,0.49698693367365365,True,0.0013481302068542856,0.026415716813188314,117,8,0.5286238150862482,1093,340,9.851551608372948e-05,1.8221842002858073,cos,0.6415500985935269,COMPLETE
640,488.01824827062666,2024-10-01 00:12:20.336571,2024-10-01 00:13:03.117831,0 days 00:00:42.781260,gbdt,0.8904563094151207,0.6113667048553565,161,0.5085463284699686,True,0.0019789366043967806,0.04105718634635404,100,8,0.5819789248054154,884,330,1.0035394205061302e-05,0.941305547112151,,0.60595401386031,COMPLETE
273,486.54728819036467,2024-09-30 19:56:32.379918,2024-09-30 19:57:17.437590,0 days 00:00:45.057672,gbdt,0.870530309181937,0.5994852801261957,206,0.515621395464275,True,0.0009167634570986085,0.033291165829650984,114,8,0.5253111365544783,869,322,4.561882958635439e-05,0.18293497979716597,,0.616591849861369,COMPLETE
635,483.8665974338416,2024-10-01 00:09:27.533837,2024-10-01 00:10:01.439865,0 days 00:00:33.906028,gbdt,0.5869530545498113,0.6077829024760774,154,0.5134070273990158,True,0.0008292155260377072,0.024561771484317648,123,8,0.5289988625725532,868,299,1.5386721103003012e-06,0.5210446810945318,,0.5689540290596292,COMPLETE
310,482.9295386044591,2024-09-30 20:19:45.507043,2024-09-30 20:20:14.205486,0 days 00:00:28.698443,gbdt,0.8679794113907339,0.6321209375154925,145,0.5113393024955831,True,0.0013551962202372043,0.03795303705059544,113,8,0.5210773455631926,600,322,2.088320080286698e-05,0.3997999226582606,,0.6420266033604798,COMPLETE
716,482.01659820501425,2024-10-01 00:56:34.298495,2024-10-01 00:57:27.792825,0 days 00:00:53.494330,gbdt,0.8646441968488847,0.6074340170673469,183,0.5024525988830209,True,0.0013861378738081879,0.038159048585221796,96,9,0.5183657660525115,966,293,6.8212691054523176e-06,0.41782033599055063,,0.5814121764122371,COMPLETE
222,482.0106652964626,2024-09-30 19:25:09.552491,2024-09-30 19:25:43.443909,0 days 00:00:33.891418,gbdt,0.6843840294971877,0.5418921592143211,133,0.5125937535318724,True,0.0009126740874849362,0.026380893308167678,111,8,0.5281710105636078,1001,313,6.163362710651003e-05,0.24788093132285302,,0.6133084229671781,COMPLETE
587,479.9691749519952,2024-09-30 23:36:40.237210,2024-09-30 23:37:21.456540,0 days 00:00:41.219330,gbdt,0.8423561663666052,0.5970556413007814,176,0.525603314132827,True,0.0012165741620051589,0.056061323169513386,116,8,0.5226417203338581,872,234,8.863048999378573e-06,0.6165943012043832,,0.6317842890373048,COMPLETE
443,479.6314268908222,2024-09-30 21:45:56.838546,2024-09-30 21:46:34.488612,0 days 00:00:37.650066,gbdt,0.8758359137862526,0.5973882958391433,147,0.5072162795460288,True,0.0016085299247940138,0.04877405749681219,117,9,0.5002234603519031,766,501,2.2986424837773975e-06,1.144688573669095,,0.5210502282949475,COMPLETE
354,478.9865396050848,2024-09-30 20:48:39.450213,2024-09-30 20:49:16.764416,0 days 00:00:37.314203,gbdt,0.8999589211009947,0.6264950946900418,154,0.497937649056443,True,0.0017008716016056035,0.03345053694783478,107,8,0.5082561129496052,834,289,1.259444174511007e-05,0.5528127549709865,,0.5967036062448621,COMPLETE
236,477.9240393801816,2024-09-30 19:33:11.152098,2024-09-30 19:33:55.257515,0 days 00:00:44.105417,gbdt,0.8790855616787223,0.6091760839777907,183,0.5252277894588846,True,0.0008640654817698842,0.03789640610753336,113,8,0.5109731476883916,902,324,2.3234595544277198e-06,0.15575722803236308,,0.6257754817778858,COMPLETE
458,477.68458927008624,2024-09-30 21:56:14.057600,2024-09-30 21:56:49.062392,0 days 00:00:35.004792,gbdt,0.8506330238643821,0.6029672862088978,131,0.5101836416947799,True,0.0018670210848813309,0.034137378147421314,116,9,0.538469979024901,725,313,6.523221622645323e-06,7.567893061075187e-06,,0.5482227775677354,COMPLETE
223,476.6302683089214,2024-09-30 19:25:43.444734,2024-09-30 19:26:16.727904,0 days 00:00:33.283170,gbdt,0.6899948965313194,0.5548178051523004,130,0.513870519642544,True,0.0008780396246204132,0.026091880625805867,117,8,0.5245395339459842,993,309,7.421368827256664e-05,0.22578676667867192,,0.6078898931190837,COMPLETE
370,475.1002395013125,2024-09-30 20:58:46.292060,2024-09-30 20:59:23.047495,0 days 00:00:36.755435,gbdt,0.872218227299865,0.6404298216046669,170,0.5113141094686598,True,0.0018271478588224549,0.0408734908698735,109,9,0.5172853752462765,619,271,6.144284874522839e-06,2.742402152465902,,0.5578845953683723,COMPLETE
226,474.6221536731635,2024-09-30 19:27:25.675324,2024-09-30 19:27:59.868174,0 days 00:00:34.192850,gbdt,0.7022430371216005,0.583941036953451,150,0.509047027177392,True,0.0009413728564824562,0.034109653227364575,111,8,0.5063533195155677,906,308,5.308311366204231e-05,0.22686172979208588,,0.5862325484105293,COMPLETE
328,473.41688848768047,2024-09-30 20:30:41.054971,2024-09-30 20:31:18.948249,0 days 00:00:37.893278,gbdt,0.8983377450360006,0.6348511595501949,143,0.5080929358668517,True,0.00151645318675373,0.04496918717469068,106,8,0.5095136158508553,886,345,5.409411220489128e-07,0.2112280122372632,,0.6040797710479163,COMPLETE
363,473.26419805194837,2024-09-30 20:54:00.249241,2024-09-30 20:54:36.986925,0 days 00:00:36.737684,gbdt,0.8900849997792414,0.6383382998284356,150,0.5002414948806202,True,0.0015586392806289607,0.03126385940152984,109,9,0.5089674194223904,696,298,7.710209218939027e-06,0.8811012734154253,,0.5396281888299028,COMPLETE
293,472.84202052746116,2024-09-30 20:10:26.769684,2024-09-30 20:10:54.015182,0 days 00:00:27.245498,gbdt,0.8748663891832663,0.5851351271030276,138,0.5221870050950895,True,0.001218205458350771,0.04499647334159871,103,8,0.5269462792049694,663,330,1.2591273952365979e-05,0.5232847628982653,,0.6058829756200848,COMPLETE
312,471.3419320194479,2024-09-30 20:20:37.912824,2024-09-30 20:21:06.513999,0 days 00:00:28.601175,gbdt,0.8639187144758315,0.5962728769074117,138,0.51439326820096,True,0.0015697129766718838,0.04126608710526099,114,8,0.5229401704555598,661,324,4.796763069553111e-06,0.8776244093276508,,0.6499170499147174,COMPLETE
705,471.23468058568363,2024-10-01 00:48:33.911059,2024-10-01 00:49:06.250658,0 days 00:00:32.339599,gbdt,0.8999787418357892,0.5999087567561312,124,0.5202372360124524,True,0.001511006549615717,0.027968203386424285,110,8,0.5263317451889923,884,363,7.499149946617723e-06,1.2102633639570861,,0.61375858167601,COMPLETE
263,471.21581347517844,2024-09-30 19:50:11.415037,2024-09-30 19:50:49.760298,0 days 00:00:38.345261,gbdt,0.8801105835352104,0.6148162159554846,152,0.5093564285631942,True,0.0008873760797719664,0.030775060319970987,105,8,0.5108722095549123,756,275,6.995690720735445e-05,0.24050038328762874,,0.6362532106479023,COMPLETE
359,469.344285374828,2024-09-30 20:51:28.822297,2024-09-30 20:51:58.060666,0 days 00:00:29.238369,gbdt,0.8999055525599965,0.6496784254168838,138,0.5015415154792775,True,0.001901964503107876,0.034785369626867915,101,8,0.5025027452339994,698,284,1.7764223877060104e-05,1.7184460715254835,,0.5505231812339937,COMPLETE
